path,determination_by_human,details_if_checked_by_hand,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM1/wp/ATCM1_wp033_e.txt,none illegible,,4329,0,0,0,0.0,,
atsd_secretariat_database/ATCM1/wp/ATCM1_wp034_e.txt,none illegible,,3400,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp001_e.txt,none illegible,,1351,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp002_e.txt,none illegible,,32490,0,3,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp003_e.txt,none illegible,,6048,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp004_e.txt,none illegible,,2906,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_e.txt,none illegible,,2436,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_rev1_e.txt,none illegible,,1728,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_rev2_e.txt,none illegible,,1534,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp006_e.txt,none illegible,,2416,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp006_rev1_e.txt,none illegible,,2562,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp007_e.txt,none illegible,,7378,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp008_e.txt,none illegible,,5285,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_e.txt,none illegible,,9848,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_rev1_e.txt,none illegible,,4981,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_rev2_e.txt,none illegible,,3916,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp010_e.txt,none illegible,,2941,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp011_e.txt,none illegible,,3156,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp011_rev1_e.txt,none illegible,,3272,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp012_e.txt,some illegible,,22263,1,1,0,4.491757624758568e-05,tem[?]ure,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp013_e.txt,none illegible,,1353,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp014_e.txt,none illegible,,15538,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp015_e.txt,none illegible,,1260,0,0,0,0.0,,
