"path","contains_no_presumptive_language","check_original_doc_with_missing_content_by_hand","issue","nbr_words","reason_short_length","reason_high_propn_unknown","presumptive_language","reason_high_propn_known_non_presumptive","propn_presumptive","propn_known_non_presumptive","majority_language","propn_known_english","propn_known_spanish","propn_known_french","propn_known_russian","propn_english","propn_spanish","propn_french","propn_russian","propn_unknown","example_unknown_words"
"atsd_secretariat_database/ATCM45/ip/ATCM45_ip061_e.txt",,,,1047,,,"English",,0.904489016236867,0.0326864147088869,"English",0.72829417773238,0.0745658835546474,0.197139938712973,0,0.680993314231138,0.0697230181470869,0.184336198662847,0,0.0649474689589303,"CEC Ebinghaus ronmental Geesthacht Xie UBA ATCM anthropogenic POPs Zentrum"
"atsd_secretariat_database/ATCM32/wp/ATCM32_wp020_e.txt",,,,409,,,"English",,0.941320293398533,0.0326633165829146,"English",0.723618090452261,0.113065326633166,0.163316582914573,0,0.704156479217604,0.110024449877751,0.158924205378973,0,0.0268948655256724,"CCAMLR Bransfield HSM superceded ATCM"
"atsd_secretariat_database/ATCM37/ip/ATCM37_ip088_e.txt",,,,550,,,"English",,0.916363636363636,0.0326295585412672,"English",0.796545105566219,0.0854126679462572,0.118042226487524,0,0.754545454545454,0.0809090909090909,0.111818181818182,0,0.0527272727272727,"Kotik Imvubu Fuegian Leava Icebird SV Subaquatic ACTM Fraternidade ATCM"
"atsd_secretariat_database/ATCM13/ip/ATCM13_ip002_f.txt",FALSE,,,94,"okay",,"French",,0.946808510638298,0.0326086956521738,"French",0.179347826086957,0.108695652173913,0.711956521739131,0,0.175531914893617,0.106382978723404,0.696808510638298,0,0.0212765957446809,"ATCM PREPARATOIRE"
"atsd_secretariat_database/ATCM3/wp/ATCM3_wp019_e.txt",,,,95,"okay",,"English",,0.936842105263158,0.0326086956521737,"English",0.742753623188406,0.0960144927536232,0.150362318840579,0.0108695652173913,0.719298245614035,0.0929824561403509,0.145614035087719,0.0105263157894737,0.0315789473684211,"TROISIEME nd english"
"atsd_secretariat_database/ATCM42/ip/ATCM42_ip041_e.txt",,,,556,,,"English",,0.962230215827338,0.0325497287522605,"English",0.773960216998191,0.0705244122965643,0.155515370705244,0,0.76978417266187,0.0701438848920864,0.154676258992806,0,0.00539568345323741,"Bergstrom doi Jabour"
"atsd_secretariat_database/ATCM11/wp/ATCM11_wp025_e.txt",,,,283,,,"English",,0.946996466431095,0.0324909747292423,"English",0.791817087845969,0.08604091456077,0.114921780986763,0.00722021660649819,0.775029446407539,0.0842167255594817,0.112485276796231,0.00706713780918728,0.0212014134275618,"effectiviness tion telecommunica collec"
"atsd_secretariat_database/ATCM41/ip/ATCM41_ip039_e.txt",,,,168,,,"English",,0.886904761904762,0.0324675324675324,"English",0.751082251082251,0.066017316017316,0.182900432900433,0,0.688492063492064,0.060515873015873,0.16765873015873,0,0.0833333333333333,"dfat CCAMLR edu Depositary html depositary ATCM austlii"
"atsd_secretariat_database/ATCM26/ip/ATCM26_ip003_s.txt",,,,348,,,"Spanish",,0.942528735632184,0.0324483775811209,"Spanish",0.0963618485742377,0.740904621435595,0.162733529990168,0,0.0938697318007662,0.721743295019158,0.15852490421456,0,0.0258620689655172,"triaxial magnetorresistivos sensar BCAA Geociencias iau ATCM gub"
"atsd_secretariat_database/ATCM40/ip/ATCM40_ip065_e.txt",,,,914,,,"English",,0.913566739606127,0.0324449594438006,"English",0.8084202394747,0.0674005407493241,0.124179219775976,0,0.763311451495259,0.063639679066375,0.117250182348651,0,0.0557986870897155,"AGM ASSW IAA Signy Antarctico AFOPS Rothera KOPRI Mizan ATCM"
"atsd_secretariat_database/ATCM31/ip/ATCM31_ip005_e.txt",,,,3875,,,"English",,0.892903225806452,0.0324384787472031,"English",0.748275540641315,0.10607755406413,0.145646905294555,0,0.690537634408608,0.0978924731182793,0.134408602150537,0,0.0771612903225807,"HCA IHB hydrographic IHO Gorziglia ATCM Hidrografia Hydrographic COMNAP XXXth"
"atsd_secretariat_database/ATCM42/ip/ATCM42_ip133_e.txt",,,,1919,,,"English",,0.886920270974466,0.0324047754405911,"English",0.761701724464658,0.0843282167898427,0.153970058745499,0,0.698193503560882,0.0772972034045509,0.141132534306062,0,0.0833767587285044,"microbeads microplastic Cauwenberghe Cincinelli ASOC neuston Zucchelli Munari Cózar Eriksen"
"atsd_secretariat_database/ATCM44/ip/ATCM44_ip127_s.txt",,,,1571,,,"Spanish",,0.950350095480586,0.0324044069993515,"Spanish",0.107042557787859,0.717217541585655,0.175739900626486,0,0.105134733715256,0.704434542754086,0.172607680882666,0,0.0178230426479949,"submareal intermareales repoblamiento intermareal CCRVMA SEIC GSPG ZAEP Informaci homogenidad"
"atsd_secretariat_database/ATCM36/ip/ATCM36_ip018_s.txt",,,,1986,,,"Spanish",,0.902316213494461,0.0323974082073437,"Spanish",0.0877429805615551,0.729751619870411,0.182505399568034,0,0.0818227593152064,0.680513595166163,0.170191339375629,0,0.067472306143001,"bioactivos hidrolíticas extremófilos bioprospección exopolisacáridos Estocolmo filotipos heterótrofos biotecnológico RCTA"
"atsd_secretariat_database/ATCM37/wp/ATCM37_wp022_e.txt",,,,611,,,"English",,0.92962356792144,0.0323679727427601,"English",0.791311754684839,0.0502555366269165,0.158432708688245,0,0.760229132569558,0.0482815057283142,0.152209492635024,0,0.0392798690671031,"Bioresources nac Vechernyaya biota dokl Sergey minpriroda Enderby ATCM url"
"atsd_secretariat_database/ATCM45/ip/ATCM45_ip100_e.txt",,,,1555,,,"English",,0.92475884244373,0.0323014804845222,"English",0.762898160610139,0.0855764917003139,0.151525347689547,0,0.729046087888532,0.0817792068595926,0.144801714898178,0,0.0443729903536977,"anthrophonies EIA Anthropogenic Binns NGO Rounsevell ASPAs ATCM anthropogenic Macquarie"
"atsd_secretariat_database/ATCM6/wp/ATCM6_wp023_e.txt",,,,96,"meeting confidential",,"English",,0.9375,0.032258064516129,"English",0.792114695340502,0.0770609318996416,0.120071684587813,0.0107526881720431,0.767361111111111,0.0746527777777778,0.116319444444444,0.0104166666666667,0.03125,"CTIQUE L'ANTA Recognisizg"
"atsd_secretariat_database/ATCM20/ip/ATCM20_ip092_s.txt",,,,367,,,"Spanish",,0.899182561307902,0.0322580645161289,"Spanish",0.108504398826979,0.712609970674487,0.178885630498534,0,0.100817438692098,0.662125340599456,0.166212534059946,0,0.0708446866485014,"MARITIMA FENOMENOS Espagñol PRONOSTICOS NAVEGACION AEREA ATCM DIRMA TECNICA OMM"
