path,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_e.txt,2436,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_rev1_e.txt,1728,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp005_rev2_e.txt,1534,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp006_e.txt,2416,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp006_rev1_e.txt,2562,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp007_e.txt,7378,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp008_e.txt,5285,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_e.txt,9848,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_rev1_e.txt,4981,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp009_rev2_e.txt,3916,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp010_e.txt,2941,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp011_e.txt,3156,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp011_rev1_e.txt,3272,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp012_e.txt,22263,1,1,0,4.4917576247585683e-05,tem[?]ure,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp013_e.txt,1353,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp014_e.txt,15538,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp015_e.txt,1260,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp016_e.txt,52997,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp017_e.txt,22996,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp018_e.txt,11735,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp019_e.txt,6792,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp020_e.txt,67219,0,5,2,2.9753492316160608e-05,,geogr?cal | wh?le
atsd_secretariat_database/ATCM10/wp/ATCM10_wp021_e.txt,17050,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp022_e.txt,6753,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp023_e.txt,3277,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_e.txt,4094,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_rev1_e.txt,6100,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_rev2_e.txt,15458,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_e.txt,4717,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev1_e.txt,5066,0,0,0,0.0,,
